iter	Passed	Remaining
0	62	62404
1	63	31477
2	63	21163
3	64	15957
4	64	12829
5	65	10852
6	65	9350
7	66	8229
8	66	7347
9	67	6639
10	67	6065
11	67	5586
12	68	5188
13	68	4842
14	69	4537
15	69	4273
16	69	4045
17	70	3849
18	71	3667
19	71	3498
20	71	3346
21	72	3207
22	72	3079
23	73	2969
24	73	2860
25	73	2758
26	73	2665
27	74	2580
28	74	2505
29	75	2437
30	75	2370
31	76	2304
32	76	2243
33	77	2190
34	77	2135
35	77	2086
36	78	2036
37	78	1995
38	79	1955
39	79	1916
40	80	1880
41	80	1843
42	81	1810
43	81	1777
44	82	1747
45	82	1714
46	83	1683
47	83	1655
48	83	1627
49	84	1601
50	84	1578
51	85	1556
52	85	1531
53	86	1507
54	86	1485
55	86	1463
56	87	1441
57	87	1420
58	87	1400
59	88	1384
60	88	1366
61	89	1348
62	89	1331
63	89	1314
64	90	1300
65	90	1287
66	91	1274
67	91	1260
68	92	1247
69	92	1234
70	93	1222
71	93	1211
72	94	1201
73	95	1189
74	95	1179
75	96	1168
76	96	1156
77	96	1145
78	97	1135
79	97	1126
80	98	1114
81	98	1104
82	98	1092
83	99	1081
84	99	1072
85	99	1062
86	100	1052
87	100	1043
88	100	1033
89	101	1024
90	101	1015
91	101	1005
92	102	997
93	102	989
94	103	981
95	103	973
96	103	964
97	103	957
98	104	949
99	104	942
100	105	935
101	105	928
102	105	920
103	106	913
104	106	907
105	106	900
106	107	895
107	107	890
108	108	885
109	108	880
110	109	874
111	109	868
112	109	862
113	110	857
114	110	851
115	111	846
116	111	839
117	111	834
118	112	830
119	112	824
120	112	820
121	113	814
122	113	809
123	113	805
124	114	801
125	115	797
126	115	792
127	115	787
128	116	783
129	116	780
130	117	776
131	117	772
132	117	768
133	118	764
134	118	760
135	119	757
136	119	753
137	120	750
138	120	747
139	120	742
140	121	738
141	121	734
142	121	730
143	122	726
144	122	722
145	123	720
146	123	717
147	123	713
148	124	710
149	124	707
150	125	705
151	125	702
152	126	699
153	126	695
154	126	691
155	127	689
156	127	686
157	128	683
158	128	680
159	129	678
160	129	674
161	129	671
162	130	668
163	130	665
164	131	663
165	131	661
166	131	658
167	132	655
168	132	652
169	133	650
170	133	648
171	134	646
172	134	644
173	135	642
174	135	639
175	136	636
176	136	633
177	136	630
178	136	628
179	137	625
180	137	622
181	137	619
182	138	617
183	138	614
184	139	612
185	139	609
186	139	607
187	139	604
188	140	602
189	140	599
190	140	596
191	141	594
192	141	591
193	141	589
194	142	587
195	142	584
196	142	582
197	143	579
198	143	577
199	143	575
200	144	572
201	144	570
202	145	571
203	146	569
204	146	567
205	146	565
206	147	563
207	147	561
208	147	559
209	148	557
210	148	555
211	148	552
212	149	550
213	149	548
214	149	546
215	149	544
216	150	542
217	150	540
218	150	537
219	151	536
220	151	533
221	151	532
222	152	530
223	152	528
224	152	526
225	153	524
226	153	522
227	153	521
228	154	519
229	154	517
230	155	516
231	155	514
232	155	512
233	156	510
234	156	509
235	156	507
236	157	505
237	157	503
238	157	502
239	157	500
240	158	498
241	158	496
242	158	494
243	159	493
244	159	491
245	159	489
246	160	487
247	160	486
248	160	484
249	160	482
250	161	481
251	161	479
252	161	477
253	162	476
254	162	474
255	162	473
256	163	471
257	163	469
258	163	468
259	163	466
260	164	465
261	164	463
262	164	462
263	165	460
264	165	458
265	166	459
266	166	457
267	167	456
268	167	454
269	167	453
270	167	451
271	168	450
272	168	448
273	168	447
274	169	445
275	169	444
276	169	443
277	170	442
278	170	440
279	170	439
280	171	439
281	172	438
282	173	439
283	174	439
284	174	438
285	175	437
286	175	436
287	175	434
288	176	433
289	176	432
290	176	430
291	177	429
292	177	428
293	177	426
294	178	425
295	178	424
296	178	423
297	179	421
298	179	420
299	179	419
300	179	417
301	180	416
302	180	415
303	181	415
304	181	414
305	182	413
306	182	412
307	182	410
308	183	409
309	183	408
310	183	407
311	184	406
312	184	404
313	184	403
314	185	402
315	185	401
316	185	400
317	185	398
318	186	397
319	186	396
320	186	395
321	187	394
322	187	392
323	187	391
324	188	390
325	188	389
326	188	388
327	188	386
328	189	385
329	189	384
330	189	383
331	190	382
332	190	381
333	190	380
334	191	379
335	191	378
336	191	377
337	192	376
338	192	375
339	192	374
340	192	372
341	193	371
342	193	370
343	193	369
344	194	368
345	194	367
346	194	366
347	195	365
348	195	364
349	195	363
350	195	362
351	196	361
352	196	360
353	196	359
354	197	358
355	197	357
356	197	356
357	198	355
358	198	354
359	198	353
360	199	352
361	199	351
362	199	350
363	199	349
364	200	348
365	200	347
366	200	346
367	201	345
368	201	344
369	201	343
370	202	342
371	202	341
372	202	340
373	202	339
374	203	338
375	203	337
376	203	336
377	204	335
378	204	334
379	204	333
380	204	332
381	205	331
382	205	331
383	205	330
384	206	329
385	206	328
386	206	327
387	206	326
388	207	325
389	207	324
390	207	323
391	207	322
392	208	321
393	208	320
394	208	319
395	209	318
396	209	318
397	209	317
398	209	316
399	210	315
400	210	314
401	210	313
402	211	312
403	211	311
404	211	310
405	211	310
406	212	309
407	212	308
408	212	307
409	213	306
410	213	305
411	213	304
412	213	304
413	214	303
414	214	302
415	214	301
416	215	300
417	215	299
418	215	298
419	215	298
420	216	297
421	216	296
422	216	295
423	217	294
424	217	293
425	217	293
426	217	292
427	218	291
428	218	290
429	218	289
430	219	289
431	219	288
432	219	287
433	219	286
434	220	285
435	220	285
436	220	284
437	221	283
438	221	282
439	221	282
440	221	281
441	222	280
442	222	279
443	222	278
444	223	278
445	223	277
446	223	276
447	223	275
448	224	275
449	224	274
450	224	273
451	225	272
452	225	272
453	225	271
454	225	270
455	226	269
456	226	269
457	226	268
458	227	267
459	227	266
460	227	266
461	227	265
462	228	264
463	228	264
464	228	263
465	229	262
466	229	262
467	229	261
468	230	260
469	230	259
470	230	259
471	231	258
472	231	257
473	231	256
474	231	256
475	232	255
476	233	255
477	233	255
478	234	254
479	234	253
480	234	253
481	234	252
482	235	251
483	235	251
484	235	250
485	236	249
486	236	249
487	236	248
488	237	247
489	237	247
490	237	246
491	238	245
492	238	245
493	238	244
494	238	243
495	239	243
496	239	242
497	239	241
498	240	241
499	240	240
500	240	239
501	241	239
502	241	238
503	241	237
504	241	237
505	242	236
506	242	235
507	242	235
508	243	234
509	243	233
510	243	233
511	244	232
512	244	232
513	244	231
514	245	230
515	245	230
516	245	229
517	246	229
518	246	228
519	246	227
520	247	227
521	247	226
522	247	226
523	248	225
524	248	224
525	249	224
526	249	223
527	249	223
528	250	222
529	250	222
530	251	221
531	251	221
532	252	220
533	252	220
534	252	219
535	252	218
536	253	218
537	253	217
538	253	217
539	254	216
540	254	216
541	254	215
542	255	214
543	255	214
544	255	213
545	256	213
546	256	212
547	256	211
548	257	211
549	257	210
550	258	210
551	258	209
552	258	209
553	259	208
554	259	207
555	259	207
556	259	206
557	260	206
558	260	205
559	260	205
560	261	204
561	261	204
562	262	203
563	262	202
564	262	202
565	263	201
566	263	201
567	263	200
568	264	200
569	264	199
570	264	198
571	265	198
572	265	197
573	265	197
574	266	196
575	266	196
576	267	195
577	267	195
578	267	194
579	267	194
580	268	193
581	268	193
582	269	192
583	269	191
584	270	191
585	270	191
586	270	190
587	271	190
588	271	189
589	272	189
590	272	188
591	272	188
592	273	187
593	273	187
594	274	186
595	274	186
596	275	185
597	275	185
598	275	184
599	276	184
600	276	183
601	276	183
602	277	182
603	277	182
604	278	181
605	278	181
606	278	180
607	279	179
608	279	179
609	279	178
610	279	178
611	280	177
612	280	177
613	280	176
614	281	175
615	281	175
616	281	174
617	281	174
618	282	173
619	282	173
620	282	172
621	283	172
622	283	171
623	283	171
624	284	170
625	284	169
626	284	169
627	284	168
628	285	168
629	285	167
630	285	167
631	286	166
632	286	166
633	286	165
634	287	165
635	287	164
636	287	163
637	288	163
638	288	162
639	288	162
640	288	161
641	289	161
642	289	160
643	289	160
644	290	159
645	290	159
646	290	158
647	291	158
648	291	157
649	291	157
650	292	156
651	292	156
652	292	155
653	292	154
654	293	154
655	293	153
656	293	153
657	294	152
658	294	152
659	294	151
660	294	151
661	295	150
662	295	150
663	295	149
664	296	149
665	296	148
666	296	148
667	296	147
668	297	147
669	297	146
670	297	145
671	298	145
672	298	145
673	298	144
674	299	143
675	299	143
676	299	142
677	299	142
678	300	141
679	300	141
680	300	140
681	301	140
682	301	139
683	301	139
684	301	138
685	302	138
686	302	137
687	302	137
688	303	136
689	303	136
690	303	135
691	303	135
692	304	134
693	304	134
694	304	133
695	305	133
696	305	132
697	306	132
698	306	131
699	306	131
700	307	131
701	307	130
702	308	130
703	308	129
704	308	129
705	309	128
706	309	128
707	310	127
708	310	127
709	310	126
710	311	126
711	311	126
712	312	125
713	312	125
714	312	124
715	313	124
716	313	123
717	313	123
718	314	122
719	314	122
720	315	121
721	315	121
722	315	121
723	316	120
724	316	120
725	316	119
726	317	119
727	317	118
728	317	118
729	318	117
730	318	117
731	318	116
732	319	116
733	319	115
734	319	115
735	320	114
736	320	114
737	320	113
738	321	113
739	321	112
740	321	112
741	322	112
742	322	111
743	322	111
744	323	110
745	323	110
746	323	109
747	324	109
748	324	108
749	324	108
750	325	107
751	325	107
752	325	106
753	325	106
754	326	105
755	326	105
756	326	104
757	327	104
758	327	104
759	328	103
760	328	103
761	328	102
762	329	102
763	329	101
764	329	101
765	330	100
766	330	100
767	330	99
768	331	99
769	331	99
770	331	98
771	332	98
772	332	97
773	333	97
774	333	96
775	334	96
776	334	95
777	334	95
778	335	95
779	335	94
780	335	94
781	336	93
782	336	93
783	336	92
784	337	92
785	337	91
786	337	91
787	338	90
788	338	90
789	338	90
790	339	89
791	339	89
792	339	88
793	339	88
794	340	87
795	340	87
796	340	86
797	341	86
798	341	85
799	341	85
800	342	84
801	342	84
802	342	84
803	342	83
804	343	83
805	343	82
806	343	82
807	344	81
808	344	81
809	344	80
810	345	80
811	345	79
812	345	79
813	345	79
814	346	78
815	346	78
816	346	77
817	347	77
818	347	76
819	347	76
820	348	75
821	348	75
822	348	75
823	349	74
824	349	74
825	349	73
826	349	73
827	350	72
828	350	72
829	351	71
830	351	71
831	351	71
832	352	70
833	352	70
834	352	69
835	353	69
836	353	68
837	353	68
838	354	67
839	354	67
840	354	67
841	355	66
842	355	66
843	355	65
844	356	65
845	356	64
846	356	64
847	357	64
848	357	63
849	358	63
850	358	62
851	358	62
852	359	61
853	359	61
854	359	61
855	360	60
856	360	60
857	360	59
858	361	59
859	361	58
860	361	58
861	362	58
862	362	57
863	363	57
864	363	56
865	363	56
866	364	55
867	364	55
868	365	55
869	365	54
870	366	54
871	366	53
872	366	53
873	367	52
874	367	52
875	367	52
876	368	51
877	368	51
878	368	50
879	369	50
880	369	49
881	369	49
882	370	49
883	370	48
884	371	48
885	371	47
886	371	47
887	372	46
888	372	46
889	372	46
890	373	45
891	374	45
892	374	44
893	374	44
894	375	44
895	375	43
896	376	43
897	376	42
898	376	42
899	377	41
900	377	41
901	378	41
902	378	40
903	378	40
904	378	39
905	379	39
906	379	38
907	379	38
908	380	38
909	380	37
910	380	37
911	381	36
912	381	36
913	381	35
914	381	35
915	382	35
916	382	34
917	382	34
918	383	33
919	383	33
920	383	32
921	383	32
922	384	32
923	384	31
924	384	31
925	385	30
926	385	30
927	385	29
928	385	29
929	386	29
930	386	28
931	386	28
932	387	27
933	387	27
934	387	26
935	387	26
936	388	26
937	388	25
938	388	25
939	389	24
940	389	24
941	389	23
942	390	23
943	390	23
944	390	22
945	390	22
946	391	21
947	391	21
948	391	21
949	392	20
950	392	20
951	392	19
952	393	19
953	393	18
954	393	18
955	393	18
956	394	17
957	394	17
958	394	16
959	395	16
960	395	16
961	395	15
962	396	15
963	396	14
964	397	14
965	397	13
966	398	13
967	398	13
968	398	12
969	399	12
970	399	11
971	399	11
972	400	11
973	400	10
974	400	10
975	401	9
976	401	9
977	402	9
978	402	8
979	403	8
980	403	7
981	403	7
982	404	6
983	404	6
984	404	6
985	405	5
986	405	5
987	405	4
988	406	4
989	406	4
990	406	3
991	406	3
992	407	2
993	407	2
994	407	2
995	408	1
996	408	1
997	408	0
998	409	0
999	409	0
